i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.05,,,,,,,,,,,,,,,,,,,
2,9.52,10.47,,,,,,,,,,,,,,,,,,
3,8.99,9.94,10.71,,,,,,,,,,,,,,,,,
4,8.46,9.41,10.18,10.94,,,,,,,,,,,,,,,,
5,7.93,8.88,9.65,10.40,11.14,,,,,,,,,,,,,,,
6,7.40,8.35,9.12,9.87,10.61,11.33,,,,,,,,,,,,,,
7,6.87,7.81,8.59,9.34,10.08,10.80,11.51,,,,,,,,,,,,,
8,6.34,7.28,8.06,8.81,9.55,10.27,10.98,11.68,,,,,,,,,,,,
9,5.81,6.75,7.53,8.28,9.02,9.74,10.45,11.15,11.85,,,,,,,,,,,
10,5.28,6.22,7.00,7.75,8.49,9.21,9.92,10.62,11.31,12.00,,,,,,,,,,
11,4.75,5.69,6.47,7.22,7.96,8.68,9.39,10.09,10.78,11.47,12.16,,,,,,,,,
12,4.22,5.16,5.94,6.69,7.43,8.15,8.86,9.56,10.25,10.94,11.63,12.31,,,,,,,,
13,3.69,4.63,5.41,6.16,6.90,7.62,8.33,9.03,9.72,10.41,11.10,11.78,12.46,,,,,,,
14,3.16,4.10,4.88,5.63,6.37,7.09,7.80,8.50,9.19,9.88,10.57,11.25,11.93,12.60,,,,,,
15,2.63,3.57,4.35,5.10,5.84,6.56,7.27,7.97,8.66,9.35,10.04,10.72,11.40,12.07,12.74,,,,,
16,2.10,3.04,3.82,4.57,5.31,6.03,6.74,7.44,8.13,8.82,9.51,10.19,10.87,11.54,12.21,12.88,,,,
17,1.57,2.51,3.29,4.04,4.77,5.49,6.20,6.91,7.60,8.29,8.98,9.66,10.34,11.01,11.68,12.35,13.02,,,
18,1.04,1.98,2.76,3.51,4.24,4.96,5.67,6.37,7.06,7.75,8.44,9.12,9.79,10.47,11.14,11.81,12.47,13.14,,
19,0.49,1.43,2.19,2.93,3.65,4.36,5.06,5.75,6.44,7.12,7.80,8.48,9.15,9.82,10.48,11.15,11.81,12.47,13.13,
20,0.00,0.72,1.32,1.92,2.52,3.12,3.72,4.32,4.92,5.52,6.12,6.72,7.32,7.92,8.52,9.12,9.72,10.32,10.92,11.52
