i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.44,,,,,,,,,,,,,,,,,,
2,1.44,2.32,,,,,,,,,,,,,,,,,
3,1.44,2.32,3.34,,,,,,,,,,,,,,,,
4,1.44,2.32,3.34,4.38,,,,,,,,,,,,,,,
5,1.44,2.32,3.34,4.38,5.42,,,,,,,,,,,,,,
6,1.44,2.32,3.34,4.38,5.42,6.46,,,,,,,,,,,,,
7,1.44,2.32,3.34,4.38,5.42,6.46,7.50,,,,,,,,,,,,
8,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,,,,,,,,,,,
9,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,9.57,,,,,,,,,,
10,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,9.57,10.60,,,,,,,,,
11,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,9.57,10.60,11.63,,,,,,,,
12,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,9.57,10.60,11.63,12.66,,,,,,,
13,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,9.57,10.60,11.63,12.66,13.69,,,,,,
14,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,9.57,10.60,11.63,12.66,13.69,14.71,,,,,
15,1.44,2.32,3.34,4.38,5.42,6.46,7.50,8.53,9.57,10.60,11.63,12.66,13.69,14.71,15.73,,,,
16,1.44,2.32,3.34,4.38,5.42,6.46,7.49,8.53,9.56,10.60,11.63,12.66,13.68,14.71,15.73,16.76,,,
17,1.44,2.31,3.34,4.37,5.41,6.45,7.48,8.52,9.55,10.58,11.61,12.64,13.67,14.69,15.72,16.75,17.77,,
18,1.27,2.25,3.25,4.28,5.31,6.34,7.38,8.41,9.44,10.46,11.49,12.52,13.54,14.56,15.59,16.61,17.63,18.65,
19,0.83,1.78,2.74,3.71,4.69,5.68,6.67,7.66,8.65,9.65,10.65,11.65,12.65,13.65,14.65,15.64,16.64,17.64,18.64
