i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.56,,,,,,,,,,,,,,,,,,,
2,10.00,10.84,,,,,,,,,,,,,,,,,,
3,9.43,10.27,10.99,,,,,,,,,,,,,,,,,
4,8.87,9.71,10.42,11.11,,,,,,,,,,,,,,,,
5,8.31,9.15,9.86,10.54,11.20,,,,,,,,,,,,,,,
6,7.74,8.58,9.30,9.98,10.64,11.29,,,,,,,,,,,,,,
7,7.18,8.02,8.73,9.41,10.08,10.72,11.36,,,,,,,,,,,,,
8,6.61,7.45,8.17,8.85,9.51,10.16,10.79,11.42,,,,,,,,,,,,
9,6.05,6.89,7.60,8.29,8.95,9.59,10.23,10.85,11.47,,,,,,,,,,,
10,5.49,6.33,7.04,7.72,8.38,9.03,9.66,10.29,10.90,11.51,,,,,,,,,,
11,4.92,5.76,6.48,7.16,7.82,8.47,9.10,9.72,10.34,10.95,11.55,,,,,,,,,
12,4.36,5.20,5.91,6.59,7.26,7.90,8.54,9.16,9.77,10.38,10.99,11.58,,,,,,,,
13,3.79,4.63,5.35,6.03,6.69,7.34,7.97,8.60,9.21,9.82,10.42,11.02,11.61,,,,,,,
14,3.23,4.07,4.78,5.47,6.13,6.77,7.41,8.03,8.65,9.26,9.86,10.46,11.05,11.64,,,,,,
15,2.67,3.51,4.22,4.90,5.56,6.21,6.84,7.47,8.08,8.69,9.29,9.89,10.48,11.07,11.66,,,,,
16,2.10,2.94,3.66,4.34,5.00,5.65,6.28,6.90,7.52,8.13,8.73,9.33,9.92,10.51,11.10,11.68,,,,
17,1.54,2.38,3.09,3.77,4.43,5.08,5.71,6.34,6.95,7.56,8.16,8.76,9.35,9.94,10.53,11.11,11.69,,,
18,0.98,1.81,2.52,3.20,3.86,4.50,5.13,5.76,6.37,6.98,7.58,8.17,8.77,9.35,9.94,10.52,11.10,11.68,,
19,0.42,1.21,1.90,2.56,3.20,3.83,4.45,5.05,5.66,6.25,6.84,7.43,8.01,8.59,9.17,9.74,10.31,10.88,11.45,
20,0.00,0.55,1.05,1.55,2.05,2.55,3.05,3.55,4.05,4.55,5.05,5.55,6.05,6.55,7.05,7.55,8.05,8.55,9.05,9.55
