i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.14,,,,,,,,,,,,,,,,,,
2,0.14,0.98,,,,,,,,,,,,,,,,,
3,0.14,0.98,1.86,,,,,,,,,,,,,,,,
4,0.14,0.98,1.86,2.77,,,,,,,,,,,,,,,
5,0.14,0.98,1.86,2.77,3.69,,,,,,,,,,,,,,
6,0.14,0.98,1.86,2.77,3.69,4.61,,,,,,,,,,,,,
7,0.14,0.98,1.86,2.77,3.69,4.61,5.54,,,,,,,,,,,,
8,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,,,,,,,,,,,
9,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,,,,,,,,,,
10,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,8.37,,,,,,,,,
11,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,8.37,9.39,,,,,,,,
12,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,8.37,9.34,10.70,,,,,,,
13,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,8.37,9.33,10.70,10.29,,,,,,
14,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,8.37,9.33,10.70,10.29,10.99,,,,,
15,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,8.37,9.33,10.70,10.29,10.99,11.71,,,,
16,0.14,0.98,1.86,2.77,3.69,4.61,5.54,6.48,7.42,8.36,9.33,10.70,10.29,10.99,11.71,12.48,,,
17,0.14,0.98,1.86,2.77,3.68,4.61,5.54,6.48,7.42,8.36,9.30,10.70,10.29,10.99,11.71,12.48,13.51,,
18,0.13,0.97,1.85,2.75,3.67,4.59,5.52,6.46,7.40,8.34,9.28,10.70,10.29,10.99,11.71,12.48,13.51,14.40,
19,0.10,0.90,1.76,2.65,3.56,4.47,5.39,6.32,7.25,8.19,9.12,10.24,10.29,10.99,11.71,12.48,13.51,14.40,15.40
